Is Retweet,Is Reply,,Tweet Text,Tweet Day,Tweet Time,Tweet Id,Tweet Source,Tweet Retweet Count,Tweet Favorite Count
No,No,,"On behalf of an entire nation, Happy 242nd Birthday to the men and women of the United States Marines!
#USMC242… https://t.co/EDmzIuB09r",Friday,10/11/2017 12:57,9.29E+17,Twitter for iPhone,24699,99654
No,No,,The United States has been reminded time and again in recent years that economic security is not merely RELATED to… https://t.co/62WsIAen7F,Friday,10/11/2017 10:43,9.29E+17,Twitter Web Client,13654,56354
No,No,,The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial co… https://t.co/6hY41gFM5i,Friday,10/11/2017 10:26,9.29E+17,Twitter Web Client,11014,47705
No,No,,Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendsh… https://t.co/2IdSIlE3Ek,Friday,10/11/2017 10:06,9.29E+17,Twitter Web Client,9298,42077
No,No,,"In more and more places throughout this region, citizens of SOVEREIGN and INDEPENDENT nations have taken greater co… https://t.co/RoZxYEdh9m",Friday,10/11/2017 9:50,9.29E+17,Twitter Web Client,8559,38424
No,No,,"Throughout my travels, I've had the pleasure of sharing the good news from America. I've had the honor of sharing o… https://t.co/eGkJAZaPuU",Friday,10/11/2017 9:32,9.29E+17,Twitter Web Client,11217,50888
No,No,,"Just landed in Da Nang, Vietnam to deliver a speech at #APEC2017",Friday,10/11/2017 5:45,9.29E+17,Twitter for iPhone,7725,50538
No,No,,"I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo, and of course, the G… https://t.co/j2kDjWvnsj",Friday,10/11/2017 1:17,9.29E+17,Twitter Web Client,13452,71017
No,No,,My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a hi… https://t.co/WqDuLr1nyF,Thursday,09/11/2017 23:44,9.29E+17,Twitter Web Client,14795,81246
No,No,,"I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF",Thursday,09/11/2017 23:39,9.29E+17,Twitter Web Client,29058,133168
No,No,,In the coming months and years ahead I look forward to building an even STRONGER relationship between the United St… https://t.co/kHCeQSQDtk,Thursday,09/11/2017 13:58,9.29E+17,Twitter for iPhone,20192,92732
No,No,,"President Xi, thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! 📸… https://t.co/Jbj5TWhCla",Thursday,09/11/2017 7:08,9.29E+17,Twitter for iPhone,19259,91023
No,No,,Congratulations to all of the ”DEPLORABLES” and the millions of people who gave us a MASSIVE (304-227) Electoral Co… https://t.co/cKVtPvEHOB,Wednesday,08/11/2017 18:17,9.28E+17,Twitter for iPhone,35152,132607
No,No,,Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautif… https://t.co/lSC21tvK3w,Wednesday,08/11/2017 15:40,9.28E+17,Twitter Web Client,13409,63161
No,No,,NoKo has interpreted America's past restraint as weakness. This would be a fatal miscalculation. Do not underestima… https://t.co/3ZqTpo7GrT,Wednesday,08/11/2017 15:15,9.28E+17,Media Studio,23463,87726
Yes,No,,"On behalf of @FLOTUS Melania and I, THANK YOU for an unforgettable afternoon and evening at the Forbidden City in B… https://t.co/Q9H0MPdIvU",Wednesday,08/11/2017 14:27,9.28E+17,Twitter Web Client,12962,60317
No,No,,Leaving South Korea now heading to China. Looking very much forward to meeting and being with President Xi!,Wednesday,08/11/2017 4:57,9.28E+17,Twitter for iPhone,11369,71928
No,No,,"Together, we dream of a Korea that is free, a peninsula that is safe, and families that are reunited once again! https://t.co/9tsZRCC83j",Wednesday,08/11/2017 3:43,9.28E+17,Twitter Web Client,12823,52966
No,No,,Anyone who doubts the strength or determination of the U.S. should look to our past....and you will doubt it no lon… https://t.co/n1Dc7xNmcg,Wednesday,08/11/2017 3:14,9.28E+17,Twitter Web Client,12378,51936
No,No,,"The North Korean regime has pursued its nuclear &amp;amp; ballistic missile programs in defiance of every assurance, agreem… https://t.co/J7WklThu2q",Wednesday,08/11/2017 3:12,9.28E+17,Twitter Web Client,10382,42542
No,No,,"The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions… https://t.co/2sIwl0TH9x",Wednesday,08/11/2017 3:09,9.28E+17,Twitter Web Client,14394,59390
No,No,,"Join me LIVE in South Korea🇺🇸🇰🇷
#NationalAssembly #POTUSinAsia 
➡️https://t.co/M3iEhPdkas https://t.co/hSxdtd2UnY",Wednesday,08/11/2017 2:14,9.28E+17,Twitter for iPhone,5867,29323
No,No,,"Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget, Republicans won 4 out of 4 House… https://t.co/HODixMtPNw",Wednesday,08/11/2017 1:40,9.28E+17,Twitter Web Client,19393,81736
No,No,,"Getting ready to make a major speech to the National Assembly here in South Korea, then will be headed to China whe… https://t.co/mEfWXmpzRw",Wednesday,08/11/2017 1:00,9.28E+17,Twitter Web Client,10954,61940
No,No,,Thank you to all Americans who participated in Nat'l Rx Drug Take Back Day. A record amount of drugs collected &amp;amp; disposed. We can do this!,Tuesday,07/11/2017 21:50,9.28E+17,Twitter for iPhone,11000,63382
Yes,No,,"Franklin, such a great photo. 

HAPPY 99th BIRTHDAY to your father, @BillyGraham! https://t.co/l0c7RvvOa1",Tuesday,07/11/2017 14:30,9.28E+17,Twitter for iPhone,12642,59923
No,No,,".@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!",Tuesday,07/11/2017 10:56,9.28E+17,Twitter for iPhone,12995,52245
No,Yes,,....and has been horrible on Virginia economy. Vote @EdWGillespie today!,Tuesday,07/11/2017 10:53,9.28E+17,Twitter for iPhone,7191,34463
No,No,,"Ralph Northam will allow crime to be rampant in Virginia. He’s weak on crime, weak on our GREAT VETS, Anti-Second Amendment....",Tuesday,07/11/2017 10:53,9.28E+17,Twitter for iPhone,13249,51308
No,Yes,,"....is making. Working very hard on TAX CUTS for the middle class, companies and jobs!",Tuesday,07/11/2017 10:37,9.28E+17,Twitter for iPhone,7064,42420
No,No,,Stock market hit yet another all-time record high yesterday. There is great confidence in the moves that my Administration....,Tuesday,07/11/2017 10:37,9.28E+17,Twitter for iPhone,11775,62471
No,No,,Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a,Tuesday,07/11/2017 10:25,9.28E+17,Media Studio,21356,70475
No,No,,"It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys, in South Korea. 🇺🇸🇰🇷… https://t.co/QJtVR498yK",Tuesday,07/11/2017 7:39,9.28E+17,Twitter for iPhone,13795,54824
Yes,No,,"トランプ大統領による、初の、歴史的な日本訪問は、間違いなく、日米同盟の揺るぎない絆を世界に示すことができました。

本当にありがとう、ドナルド。そして、アジア歴訪の大成功をお祈りしています。

@realDonaldTrump https://t.co/8m3MFbAkNK",Tuesday,07/11/2017 1:53,9.28E+17,Twitter for iPhone,25639,0
No,Yes,,....Some of those they are harshly treating have been “milking” their country for years!,Monday,06/11/2017 23:05,9.28E+17,Twitter for iPhone,47945,78053
